#
#   VizieR Astronomical Server vizier.unistra.fr
#    Date: 2025-12-15T04:11:56 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-12-15T04:11:56	  Query execution date
#INFO	request=https://vizier.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-out.all=2&-order=I&-out.src=J/ApJS/234/35/table4&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJS/234/35/table4&-out=Name&-out=Np&-out=RAJ2000&-out=DEJ2000&-out=Gal&-out=NUVFlux&-out=e_NUVFlux&-out=FUVFlux&-out=e_FUVFlux&-out=3.6Flux&-out=e_3.6Flux&-out=4.5Flux&-out=e_4.5Flux&-out=5.8Flux&-out=e_5.8Flux&-out=8Flux&-out=e_8Flux&-out=24Flux&-out=e_24Flux&-out=uFlux&-out=e_uFlux&-out=gFlux&-out=e_gFlux&-out=rFlux&-out=e_rFlux&-out=iFlux&-out=e_iFlux&-out=zFlux&-out=e_zFlux&-out=Ha+Cont&-out=e_Ha+Cont&-out=Ha&-out=e_Ha&-out=HFlux&-out=e_HFlux&-out=JFlux&-out=e_JFlux&-out=KsFlux&-out=e_KsFlux&-out=SED&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22340035
#Name: J/ApJS/234/35
#Title: Stellar population synthesis of clumps (Zaragoza-Cardiel+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apjs/234/35	    IVOID of underlying data collection
#INFO	creator=Zaragoza-Cardiel J.	    First author or institution
#INFO	cites=bibcode:2018ApJS..234...35Z	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/234/35	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22340035	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-11-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_234_35_table4:
#Name: J/ApJS/234/35/table4
#Title: GALEX, Spitzer, SDSS, H{alpha}, and 2MASS photometry for the clumps
#Column	Name	(a27)	Name of the identified clump	[ucd=meta.id;meta.main]
#Column	Np	(I3)	Output parameters for this clump (link to table 5)	[ucd=meta.ref.url]
#Column	RAJ2000	(F11.7)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F14.10)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Gal	(A9)	Name of the galaxy	[ucd=meta.id.parent]
#Column	NUVFlux	(F8.4)	[0.001/115]? GALEX NUV band flux	[ucd=phot.flux.density;em.UV.200-300nm]
#Column	e_NUVFlux	(F7.4)	[0.0001/0.2]? Error in NUVFlux (G2)	[ucd=stat.error]
#Column	FUVFlux	(F10.7)	[0.001/86.7]? GALEX FUV band flux	[ucd=phot.flux.density;em.UV.100-200nm]
#Column	e_FUVFlux	(F10.7)	[2e-07/0.1]? Error in FUVFlux (G2)	[ucd=stat.error]
#Column	3.6Flux	(F9.4)	[0.003/2692]? Spitzer/IRAC 3.6um band flux	[ucd=phot.mag;em.IR.3-4um]
#Column	e_3.6Flux	(F7.4)	[0.0004/0.3]? Error in 4.5Flux (G2)	[ucd=stat.error]
#Column	4.5Flux	(F9.4)	[0.003/1697] Spitzer/IRAC 4.5um band flux	[ucd=phot.mag;em.IR.4-8um]
#Column	e_4.5Flux	(F7.4)	[0.0004/0.2]? Error in 4.5Flux (G2)	[ucd=stat.error]
#Column	5.8Flux	(F8.3)	[0.01/2777]? Spitzer/IRAC 5.8um band flux	[ucd=phot.flux.density;em.IR.4-8um]
#Column	e_5.8Flux	(F6.3)	[0.001/0.5]? Error in 5.8Flux (G2)	[ucd=stat.error]
#Column	8Flux	(F8.3)	[0.02/5358] Spitzer/IRAC 8um band flux	[ucd=phot.flux.density;em.IR.8-15um]
#Column	e_8Flux	(F6.3)	[0.002/2]? Error in 8Flux (G2)	[ucd=stat.error]
#Column	24Flux	(F8.3)	[0.06/8890]? Spitzer/MIPS 24um band flux	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_24Flux	(F5.2)	[0/20]? Error in 24Flux (G2)	[ucd=stat.error]
#Column	uFlux	(F8.4)	[0.009/540]? SDSS u band flux	[ucd=phot.flux.density;em.opt.U]
#Column	e_uFlux	(F7.4)	[0.0009/0.2]? Error in uFlux (G2)	[ucd=stat.error]
#Column	gFlux	(F9.4)	[0.004/1171]? SDSS g band flux	[ucd=phot.mag;em.opt.B]
#Column	e_gFlux	(F7.4)	[0.0006/0.3]? Error in gFlux (G2)	[ucd=stat.error]
#Column	rFlux	(F9.4)	[0.007/2142]? SDSS r band flux	[ucd=phot.flux.density;em.opt.R]
#Column	e_rFlux	(F7.4)	[0.0008/1]? Error in rFlux (G2)	[ucd=stat.error]
#Column	iFlux	(F8.3)	[0.01/2992]? SDSS i band flux	[ucd=phot.flux.density;em.opt.I]
#Column	e_iFlux	(F6.3)	[0.001/1]? Error in iFlux (G2)	[ucd=stat.error]
#Column	zFlux	(F8.3)	[0.03/3744]? SDSS z band flux	[ucd=phot.mag;em.opt.I]
#Column	e_zFlux	(F6.3)	[0.003/0.5]? Error in zFlux (G2)	[ucd=stat.error]
#Column	Ha+Cont	(F9.4)	[0.02/3470]? Halpha plus continuum flux	[ucd=phot.flux;em.line.Halpha]
#Column	e_Ha+Cont	(F7.4)	[0.00001/1]? Error in Ha+Cont (G2)	[ucd=stat.error]
#Column	Ha	(E11.4)	[/1.3e-11]? Halpha continuum subtracted flux	[ucd=phot.flux;em.line.Halpha]
#Column	e_Ha	(F7)	[/8e-15]? Error in Ha	[ucd=stat.error]
#Column	HFlux	(F8.3)	[0.05/6193]? 2MASS H band flux	[ucd=phot.flux.density;em.IR.H]
#Column	e_HFlux	(F6.3)	[0.009/1]? Error in HFlux (G2)	[ucd=stat.error]
#Column	JFlux	(F8.3)	[0.03/5184]? 2MASS J band flux	[ucd=phot.mag;em.IR.J]
#Column	e_JFlux	(F6.3)	[0.006/0.9]? Error in JFlux (G2)	[ucd=stat.error]
#Column	KsFlux	(F8.3)	[0.06/5085]? 2MASS Ks band flux	[ucd=phot.mag;em.IR.K]
#Column	e_KsFlux	(F6.3)	[0.009/1]? Error in KsFlux (G2)	[ucd=stat.error]
#Column	SED	(A3)	UV-FIR SED plot of this source	[ucd=meta.ref.url]
Name	Np	RAJ2000	DEJ2000	Gal	NUVFlux	e_NUVFlux	FUVFlux	e_FUVFlux	3.6Flux	e_3.6Flux	4.5Flux	e_4.5Flux	5.8Flux	e_5.8Flux	8Flux	e_8Flux	24Flux	e_24Flux	uFlux	e_uFlux	gFlux	e_gFlux	rFlux	e_rFlux	iFlux	e_iFlux	zFlux	e_zFlux	Ha+Cont	e_Ha+Cont	Ha	e_Ha	HFlux	e_HFlux	JFlux	e_JFlux	KsFlux	e_KsFlux	SED
Arp279_15_sbt_disk_1_0     	  1	048.5665320	-02.8189729000	NGC1253  	        	       	          	          	   0.1050	 0.0030	   0.1240	 0.0020	   0.529	 0.006	   1.339	 0.008	  16.340	 0.07	        	       	         	       	         	       	        	      	        	      	   0.7800	 0.0100	 2.3400e-14	  2e-16	   0.310	      	   0.210	      	   0.360	      	SED
Arp279_16_sbt_disk_1_0     	  1	048.5664570	-02.8138068000	NGC1253  	        	       	          	          	   0.2710	 0.0030	   0.1930	 0.0020	   0.340	 0.006	   0.978	 0.008	   3.260	 0.05	        	       	         	       	         	       	        	      	        	      	   1.0500	 0.0090	 2.6600e-14	  2e-16	   0.300	      	   0.190	      	   0.370	      	SED
Arp279_18_sbt_disk_1_0     	  1	048.5909770	-02.8023722000	NGC1253A 	        	       	          	          	   0.2780	 0.0040	   0.1970	 0.0030	   0.317	 0.008	   0.740	 0.010	   1.450	 0.07	        	       	         	       	         	       	        	      	        	      	   0.6500	 0.0100	 1.3100e-14	  2e-16	   0.580	 0.050	   0.640	 0.030	   0.400	      	SED
Arp279_2_sbt_disk_1_0      	  1	048.5119480	-02.8168930000	NGC1253  	        	       	          	          	   0.3930	 0.0030	   0.2980	 0.0030	   0.661	 0.008	   1.870	 0.010	   9.740	 0.07	        	       	         	       	         	       	        	      	        	      	   2.1800	 0.0100	 6.0800e-14	  2e-16	   0.340	 0.040	   0.580	 0.030	   0.580	 0.050	SED
Arp279_3_sbt_disk_1_0      	  1	048.5149660	-02.8137795000	NGC1253  	        	       	          	          	   0.3050	 0.0030	   0.2430	 0.0030	   0.424	 0.007	   1.031	 0.009	   5.620	 0.05	        	       	         	       	         	       	        	      	        	      	   1.4820	 0.0090	 3.9000e-14	  2e-16	   0.760	 0.040	   0.620	 0.030	   0.370	      	SED
Arp279_4_sbt_disk_1_0      	  1	048.5251580	-02.8272044000	NGC1253  	        	       	          	          	  13.0680	 0.0080	   8.3740	 0.0060	   6.870	 0.010	   7.710	 0.020	   6.900	 0.10	        	       	         	       	         	       	        	      	        	      	  23.5200	 0.0100	 6.4300e-14	  2e-16	  43.870	 0.060	  49.200	 0.050	  30.590	 0.060	SED
Arp279_5_sbt_disk_1_0      	  1	048.5294750	-02.8240357000	NGC1253  	        	       	          	          	   2.1500	 0.0100	   1.4050	 0.0090	   3.340	 0.020	   9.540	 0.040	   9.200	 0.20	        	       	         	       	         	       	        	      	        	      	   1.3100	 0.0200	 1.4800e-14	  3e-16	   4.060	 0.070	   3.760	 0.060	   4.040	 0.070	SED
Arp279_6_sbt_disk_1_0      	  1	048.5242310	-02.8161659000	NGC1253  	        	       	          	          	   0.3880	 0.0030	   0.2890	 0.0030	   0.969	 0.008	   2.600	 0.010	   3.340	 0.06	        	       	         	       	         	       	        	      	        	      	   1.2100	 0.0100	 3.2700e-14	  2e-16	   0.350	 0.050	   0.340	 0.030	   0.380	      	SED
Arp279_7_sbt_disk_1_0      	  1	048.5315610	-02.8229148000	NGC1253  	        	       	          	          	   3.1100	 0.0100	   2.0100	 0.0100	   4.250	 0.020	  11.360	 0.050	  10.200	 0.30	        	       	         	       	         	       	        	      	        	      	   1.7900	 0.0200	 2.1000e-14	  3e-16	   5.470	 0.070	   5.140	 0.050	   5.290	 0.070	SED
Arp279_8_sbt_disk_1_0      	  1	048.5344590	-02.8160686000	NGC1253  	        	       	          	          	   0.6070	 0.0030	   0.4300	 0.0020	   1.405	 0.007	   3.680	 0.010	   5.840	 0.06	        	       	         	       	         	       	        	      	        	      	   0.6600	 0.0100	 1.0600e-14	  2e-16	   1.060	 0.060	   1.160	 0.040	   0.470	      	SED
Arp279_9_sbt_disk_1_0      	  1	048.5435500	-02.8209402000	NGC1253  	        	       	          	          	   3.1300	 0.0100	   2.0030	 0.0090	   4.640	 0.020	  12.510	 0.050	   9.800	 0.30	        	       	         	       	         	       	        	      	        	      	   1.8400	 0.0200	 1.8700e-14	  2e-16	   5.720	 0.070	   4.560	 0.060	   4.350	 0.080	SED
Arp280_1_sbt_disk_1_0      	  1	174.4234500	+47.9063680000	NGC3769  	  0.1750	 0.0030	 0.1240000	 0.0030000	   2.4960	 0.0020	   1.5660	 0.0030	   2.249	 0.009	   4.299	 0.009	   3.430	 0.04	  0.3470	 0.0030	   1.7380	 0.0060	   2.6900	 0.0100	   3.470	 0.010	   3.730	 0.020	   1.8800	 0.0300	 7.6000e-15	  3e-16	   5.250	 0.090	   4.320	 0.060	   2.240	 0.080	SED
Arp282_1_sbt_disk_1_0      	  1	009.2048730	+23.9898030000	NGC0169  	  0.0018	       	 0.0020000	          	   0.1760	 0.0030	   0.1130	 0.0020	   0.180	 0.004	   0.522	 0.007	   0.460	 0.03	  0.0100	       	   0.0310	 0.0020	   0.0960	 0.0030	   0.159	 0.005	   0.160	 0.009	   0.1400	 0.0100	 2.5000e-16	  7e-17	   0.160	      	   0.210	 0.020	   0.160	      	SED
Arp282_2_sbt_disk_1_0      	  1	009.2102212	+23.9905600000	NGC0169  	  0.0031	       	 0.0026000	          	   1.3100	 0.0200	   0.8300	 0.0100	   1.280	 0.020	   3.250	 0.050	   2.300	 0.20	  0.0130	       	   0.0890	 0.0070	   0.3100	 0.0200	   0.610	 0.040	   0.940	 0.050	   0.5900	 0.0200	 1.5400e-15	  9e-17	   2.050	 0.040	   1.610	 0.030	   2.130	 0.040	SED
Arp282_3_sbt_disk_1_0      	  1	009.2186974	+23.9914710000	NGC0169  	  0.0066	 0.0009	 0.0046000	          	   2.3200	 0.0300	   1.5500	 0.0200	   3.410	 0.030	   8.970	 0.090	   7.200	 0.40	  0.0390	 0.0030	   0.2500	 0.0100	   0.6900	 0.0400	   1.140	 0.060	   1.530	 0.080	   1.3000	 0.0200	 4.5000e-15	  1e-16	   3.220	 0.080	   2.460	 0.060	   3.460	 0.080	SED
Arp282_4_sbt_disk_1_0      	  1	009.2219337	+23.9913990000	NGC0169  	  0.0055	 0.0007	 0.0039000	          	   0.9800	 0.0100	   0.6520	 0.0080	   1.340	 0.010	   3.720	 0.040	   3.600	 0.20	  0.0310	 0.0020	   0.1230	 0.0050	   0.2800	 0.0100	   0.470	 0.020	   0.680	 0.030	   0.4700	 0.0200	 1.4000e-15	  1e-16	   1.440	 0.040	   1.080	 0.030	   1.370	 0.040	SED
Arp282_5_sbt_disk_1_0      	  1	009.2247737	+23.9913310000	NGC0169  	  0.0038	 0.0005	 0.0030000	          	   0.5750	 0.0050	   0.3730	 0.0030	   0.635	 0.006	   1.680	 0.010	   1.550	 0.08	  0.0110	       	   0.0760	 0.0020	   0.2040	 0.0060	   0.340	 0.010	   0.450	 0.010	   0.3300	 0.0100	 8.8000e-16	  8e-17	   1.070	 0.030	   0.720	 0.020	   0.830	 0.030	SED
Arp283_1_sbt_disk_1_0      	  1	139.3395300	+42.0068350000	NGC2798  	  0.0099	 0.0007	 0.0026000	 0.0003000	   0.6740	 0.0060	   0.3940	 0.0040	   0.870	 0.010	   2.150	 0.010	  13.500	 0.10	  0.0690	 0.0020	   0.3200	 0.0050	   0.6000	 0.0100	   0.840	 0.010	   1.200	 0.020	   6.8000	       	 2.0000e-16	       	   1.260	 0.040	   1.410	 0.030	   1.500	 0.050	SED
Arp284_1_sbt_disk_1_0      	  1	354.0836200	+02.1534867000	NGC7715  	        	       	 0.0180000	 0.0010000	   0.0660	 0.0020	   0.0510	 0.0030	   0.064	      	   0.146	 0.009	   1.150	 0.08	  0.0420	 0.0020	   0.1290	 0.0020	   0.1400	 0.0030	   0.145	 0.003	   0.114	 0.007	         	       	           	       	   0.170	      	   0.110	      	   0.180	      	SED
Arp284_2_sbt_disk_1_0      	  1	354.0861300	+02.1560434000	NGC7715  	        	       	 0.0270000	 0.0030000	   0.1300	 0.0030	   0.0880	 0.0030	   0.070	      	   0.076	 0.009	   0.680	     	  0.0650	 0.0040	   0.2320	 0.0070	   0.2810	 0.0090	   0.300	 0.010	   0.290	 0.010	         	       	           	       	   0.210	      	   0.290	 0.020	   0.180	      	SED
Arp284_3_sbt_disk_1_0      	  1	354.0876300	+02.1539840000	NGC7715  	        	       	 0.0240000	          	   0.1370	 0.0030	   0.0880	 0.0030	   0.074	      	   0.140	 0.010	   0.580	     	  0.0320	 0.0040	   0.1900	 0.0100	   0.2400	 0.0100	   0.260	 0.010	   0.210	 0.020	         	       	           	       	   0.300	 0.030	   0.300	 0.020	   0.190	      	SED
Arp284_4_sbt_disk_1_0      	  1	354.0949000	+02.1587670000	NGC7715  	        	       	 0.0780000	 0.0050000	   0.1560	 0.0030	   0.1010	 0.0030	   0.130	 0.010	   0.400	 0.010	   0.630	     	  0.1520	 0.0060	   0.3400	 0.0100	   0.3600	 0.0100	   0.360	 0.020	   0.310	 0.020	         	       	           	       	   0.290	 0.030	   0.360	 0.020	   0.200	      	SED
Arp285_1_sbt_disk_1_0      	  1	141.0060400	+49.2041190000	NGC2854  	  0.0670	 0.0070	 0.0500000	 0.0050000	   0.7340	 0.0030	   0.5050	 0.0020	   2.160	 0.005	   5.910	 0.010	  12.200	 0.10	  0.1150	 0.0070	   0.2600	 0.0200	   0.4400	 0.0300	   0.470	 0.040	   0.580	 0.050	   0.8440	 0.0070	 2.0000e-14	  1e-16	   0.870	 0.030	   0.720	 0.010	   0.750	 0.030	SED
Arp285_2_sbt_disk_1_0      	  1	141.0094500	+49.2068090000	NGC2854  	  0.0470	 0.0050	 0.0230000	 0.0030000	   0.7430	 0.0010	   0.5060	 0.0010	   1.435	 0.005	   3.870	 0.010	  11.790	 0.07	  0.0810	 0.0050	   0.3100	 0.0200	   0.5400	 0.0400	   0.680	 0.060	   0.840	 0.080	   0.6800	 0.0060	 1.3200e-14	  1e-16	   1.490	 0.050	   1.060	 0.020	   0.680	 0.030	SED
Arp285_3_sbt_disk_1_0      	  1	141.0080300	+49.2001170000	NGC2854  	  0.0700	 0.0080	 0.0480000	 0.0060000	   1.2070	 0.0030	   0.7720	 0.0020	   2.332	 0.007	   6.644	 0.009	  10.700	 0.20	  0.1490	 0.0070	   0.5200	 0.0200	   0.8400	 0.0300	   1.060	 0.030	   1.280	 0.040	   0.7020	 0.0060	 9.2000e-15	  1e-16	   1.820	 0.030	   1.580	 0.020	   1.640	 0.020	SED
Arp285_4_sbt_disk_1_0      	  1	141.0107800	+49.2013760000	NGC2854  	  0.0990	 0.0060	 0.0800000	 0.0050000	   1.7500	 0.0200	   1.1200	 0.0100	   2.880	 0.040	   8.600	 0.100	  24.000	 1.00	  0.2360	 0.0060	   0.7100	 0.0200	   1.1700	 0.0300	   1.510	 0.050	   1.880	 0.080	   0.8400	 0.0100	 8.4000e-15	  2e-16	   3.710	 0.050	   2.860	 0.040	   3.140	 0.040	SED
Arp285_5_sbt_disk_1_0      	  1	141.0221600	+49.2049050000	NGC2854  	  0.0440	 0.0030	 0.0420000	 0.0020000	   0.3250	 0.0008	   0.2090	 0.0020	   0.476	 0.006	   1.441	 0.006	   2.210	 0.09	  0.0640	 0.0020	   0.2130	 0.0060	   0.3000	 0.0100	   0.330	 0.010	   0.300	 0.020	   0.2180	 0.0060	 3.0000e-15	  1e-16	   0.250	 0.030	   0.300	 0.020	   0.260	 0.030	SED
Arp285_6_sbt_disk_1_0      	  1	141.0653000	+49.2508920000	NGC2856  	  0.1580	 0.0060	 0.1020000	 0.0050000	   8.1800	 0.0100	   5.6370	 0.0070	  18.970	 0.020	  56.220	 0.050	 186.200	 0.70	  0.5210	 0.0080	   1.6500	 0.0200	   3.2600	 0.0500	   4.470	 0.070	   6.100	 0.100	   3.4400	 0.0100	 5.8100e-14	  1e-16	  12.360	 0.070	   9.320	 0.040	  10.220	 0.080	SED
Arp285_7_sbt_disk_1_0      	  1	141.0691900	+49.2473720000	NGC2856  	  0.0930	 0.0030	 0.0480000	 0.0020000	   8.7900	 0.0300	   6.1200	 0.0200	  22.210	 0.020	  65.370	 0.040	 191.300	 0.90	  0.4510	 0.0070	   1.3100	 0.0200	   2.8400	 0.0500	   3.890	 0.070	   5.600	 0.100	   4.4600	 0.0100	 9.6600e-14	  1e-16	  11.700	 0.100	   8.800	 0.080	  10.450	 0.080	SED
Arp285_8_sbt_disk_1_0      	  1	141.0752700	+49.2418050000	NGC2856  	  0.0032	       	 0.0019000	          	   0.1260	 0.0010	   0.0830	 0.0010	   0.118	 0.004	   0.299	 0.005	   0.740	 0.05	  0.0120	       	   0.0450	 0.0030	   0.0910	 0.0060	   0.118	 0.008	   0.130	 0.010	   0.0480	       	 2.1000e-16	       	   0.170	      	   0.300	 0.020	   0.240	      	SED
Arp290_10_sbt_disk_1_0     	  1	030.9579420	+14.7457140000	IC0196   	  0.0350	 0.0030	 0.0220000	 0.0020000	   1.2320	 0.0060	   0.8830	 0.0040	   2.675	 0.006	   7.344	 0.006	  12.700	 0.10	  0.0680	 0.0040	   0.2980	 0.0050	   0.5940	 0.0090	   0.790	 0.010	   0.870	 0.020	   0.5430	 0.0090	 1.9300e-15	  5e-17	   1.740	 0.040	   1.340	 0.030	   1.390	 0.040	SED
Arp290_11_sbt_disk_1_0     	  1	030.9619110	+14.7501920000	IC0196   	  0.0062	 0.0006	 0.0069000	 0.0007000	   0.0980	 0.0030	   0.0660	 0.0020	   0.101	 0.004	   0.239	 0.005	   0.220	     	  0.0220	       	   0.0440	 0.0020	   0.0710	 0.0030	   0.093	 0.004	   0.114	 0.009	   0.0530	       	 1.4000e-16	       	   0.170	      	   0.330	 0.020	   0.160	      	SED
Arp290_12_sbt_disk_1_0     	  1	030.9604770	+14.7550670000	IC0196   	  0.0097	 0.0008	 0.0130000	 0.0008000	   0.2010	 0.0040	   0.1380	 0.0020	   0.200	 0.004	   0.467	 0.005	   0.360	 0.03	  0.0230	 0.0030	   0.0910	 0.0020	   0.1700	 0.0030	   0.197	 0.004	   0.270	 0.009	   0.1100	       	 1.4000e-16	       	   0.550	 0.030	   0.170	 0.020	   0.630	 0.030	SED
Arp290_2_sbt_disk_1_0      	  1	030.9514710	+14.7290370000	IC0196   	  0.0059	 0.0008	 0.0055000	          	   0.1960	 0.0060	   0.1050	 0.0040	   0.111	 0.006	   0.331	 0.009	   0.380	     	  0.0210	       	   0.0180	       	   0.0380	 0.0050	   0.046	      	   0.079	      	   0.0340	 0.0090	 2.4000e-16	  5e-17	   0.220	      	   0.160	 0.020	   0.240	      	SED
Arp290_3_sbt_disk_1_0      	  1	030.9534700	+14.7279240000	IC0196   	  0.0069	 0.0008	 0.0053000	          	   0.4140	 0.0050	   0.2550	 0.0030	   0.331	 0.005	   0.825	 0.008	   0.380	 0.05	  0.0210	       	   0.0940	 0.0020	   0.1980	 0.0040	   0.282	 0.007	   0.330	 0.010	   0.1730	 0.0080	 5.1000e-16	  5e-17	   0.490	 0.030	   0.630	 0.020	   0.640	 0.030	SED
Arp290_4_sbt_disk_1_0      	  1	030.9520600	+14.7334170000	IC0196   	  0.0041	       	 0.0041000	          	   0.0820	 0.0030	   0.0600	 0.0020	   0.028	      	   0.059	 0.005	   0.260	     	  0.0210	       	   0.0200	       	   0.0450	 0.0050	   0.054	      	   0.084	      	   0.0370	       	 1.4000e-16	       	   0.200	 0.030	   0.180	 0.020	   0.180	      	SED
Arp290_5_sbt_disk_1_0      	  1	030.9519760	+14.7410700000	IC0196   	  0.0044	       	 0.0046000	 0.0005000	   0.0720	 0.0020	   0.0520	 0.0010	   0.048	 0.003	   0.067	 0.004	   0.280	 0.03	  0.0210	       	   0.0150	       	   0.0260	       	   0.039	      	   0.071	      	   0.0320	       	 1.4000e-16	       	   0.170	      	   0.110	      	   0.170	      	SED
Arp290_6_sbt_disk_1_0      	  1	030.9557830	+14.7315910000	IC0196   	  0.0057	 0.0006	 0.0047000	          	   0.9800	 0.0060	   0.5990	 0.0040	   0.740	 0.005	   1.567	 0.005	   1.290	 0.04	  0.0410	 0.0030	   0.2660	 0.0030	   0.5880	 0.0060	   0.835	 0.009	   0.900	 0.010	   0.3980	 0.0090	 6.4000e-16	  5e-17	   1.730	 0.030	   1.270	 0.030	   1.730	 0.040	SED
Arp290_7_sbt_disk_1_0      	  1	030.9571970	+14.7284270000	IC0196   	  0.0040	       	 0.0053000	 0.0006000	   0.1040	 0.0010	   0.0570	 0.0010	   0.054	 0.003	   0.111	 0.003	   0.250	     	  0.0210	       	   0.0270	 0.0030	   0.0420	 0.0060	   0.062	 0.009	   0.095	      	   0.0430	       	 1.4000e-16	       	   0.490	 0.030	   0.140	      	   0.220	      	SED
Arp290_8_sbt_disk_1_0      	  1	030.9563870	+14.7358690000	IC0196   	  0.0079	       	 0.0060000	          	   1.1500	 0.0100	   0.7040	 0.0070	   0.649	 0.008	   1.003	 0.007	   0.820	 0.07	  0.0510	       	   0.3600	 0.0400	   0.8000	 0.1000	   1.200	 0.200	   1.400	      	   0.5200	 0.0100	 2.4000e-16	  6e-17	   2.880	 0.050	   1.960	 0.040	   2.040	 0.040	SED
Arp294_1_sbt_disk_1_0      	  1	174.9330400	+31.9106150000	NGC3786  	        	       	          	          	   1.4610	 0.0060	   1.0100	 0.0040	   2.900	 0.020	   8.050	 0.060	  20.400	 0.40	  0.1610	 0.0030	   0.3820	 0.0060	   0.7100	 0.0100	   0.820	 0.020	   0.910	 0.030	         	       	           	       	   1.550	 0.070	   1.910	 0.050	   1.680	 0.050	SED
Arp294_2_sbt_disk_1_0      	  1	174.9303100	+31.9120620000	NGC3786  	        	       	          	          	   0.6900	 0.0200	   0.4200	 0.0200	   0.540	 0.030	   1.420	 0.070	  11.000	 1.00	  0.0940	       	   0.3300	       	   0.7000	       	   0.900	      	   1.300	      	         	       	           	       	   1.890	 0.070	   1.120	 0.060	   1.600	 0.060	SED
Arp294_3_sbt_disk_1_0      	  1	174.9375400	+31.9277980000	NGC3788  	        	       	          	          	   3.1400	 0.0300	   2.0300	 0.0200	   4.710	 0.040	  11.300	 0.100	  19.000	 0.60	  0.2760	 0.0050	   0.8300	 0.0200	   1.7300	 0.0500	   2.350	 0.080	   3.200	 0.100	         	       	           	       	   4.500	 0.100	   4.190	 0.070	   5.080	 0.070	SED
Arp294_4_sbt_disk_1_0      	  1	174.9256600	+31.9063210000	NGC3786  	        	       	          	          	   1.1100	 0.0200	   0.7500	 0.0200	   1.480	 0.030	   4.020	 0.060	  22.700	 0.40	  0.1400	 0.0200	   0.4200	 0.0500	   0.7900	       	   1.000	      	   1.400	      	         	       	           	       	   2.470	 0.080	   2.020	 0.070	   1.800	 0.080	SED
Arp294_5_sbt_disk_1_0      	  1	174.9228000	+31.9064310000	NGC3786  	        	       	          	          	   0.9700	 0.0200	   0.7200	 0.0100	   1.590	 0.020	   4.060	 0.040	  10.400	 0.20	  0.2500	 0.0030	   0.5300	 0.0100	   0.8200	 0.0300	   0.960	 0.030	   1.210	 0.040	         	       	           	       	   1.680	 0.070	   1.260	 0.050	   1.580	 0.050	SED
Arp294_6_sbt_disk_1_0      	  1	174.9364800	+31.9293420000	NGC3788  	        	       	          	          	   5.6400	 0.0400	   3.4200	 0.0300	   3.510	 0.050	   5.200	 0.100	  10.400	 0.60	  0.2910	 0.0060	   1.5600	 0.0200	   3.5000	 0.0600	   5.330	 0.090	   7.100	 0.100	         	       	           	       	  12.200	 0.100	   9.700	 0.100	  10.400	 0.100	SED
Arp294_7_sbt_disk_1_0      	  1	174.9220700	+31.9096450000	NGC3786  	        	       	          	          	   0.5900	 0.0200	   0.4500	 0.0100	   0.830	 0.020	   2.170	 0.010	   7.780	 0.09	  0.0350	       	   0.1400	 0.0200	   0.2800	 0.0300	   0.420	 0.040	   0.390	 0.050	         	       	           	       	   0.550	 0.070	   0.480	 0.060	   0.420	      	SED
Arp294_8_sbt_disk_1_0      	  1	174.9345900	+31.9362560000	NGC3788  	        	       	          	          	   3.2700	 0.0200	   2.1800	 0.0100	   5.340	 0.030	  13.900	 0.080	  21.200	 0.70	  0.1230	 0.0050	   0.4700	 0.0100	   0.9300	 0.0200	   1.350	 0.040	   2.010	 0.050	         	       	           	       	   4.120	 0.080	   3.420	 0.060	   4.210	 0.060	SED
Arp294_9_sbt_disk_1_0      	  1	174.9344600	+31.9408240000	NGC3788  	        	       	          	          	   2.2300	 0.0100	   1.4880	 0.0080	   5.500	 0.010	  15.460	 0.010	  19.900	 0.30	  0.2210	 0.0040	   0.5700	 0.0100	   0.8600	 0.0100	   1.100	 0.020	   1.410	 0.020	         	       	           	       	   2.990	 0.070	   1.770	 0.050	   2.220	 0.060	SED
